City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Northam,GB,51.0333,-4.2167,48.0,62,10,8.99,clear sky
189,Dikson,RU,73.5069,80.5464,31.06,97,100,21.85,light snow
190,Puerto Escondido,MX,15.85,-97.0667,82.4,78,20,5.53,few clouds
191,Glen Allen,US,37.666,-77.5064,73.99,64,1,12.66,clear sky
192,Charlestown,AU,-32.95,151.6667,54.0,54,0,6.96,clear sky
193,Yatou,CN,37.15,122.3833,50.04,78,100,5.59,light rain
194,Rusape,ZW,-18.5278,32.1284,70.43,49,17,10.69,few clouds
195,Devils Lake,US,48.1128,-98.8651,46.4,61,1,11.5,clear sky
196,Jos,NG,9.9167,8.9,93.45,8,100,8.79,overcast clouds
197,Zolotkovo,RU,55.5281,41.1053,48.36,78,26,3.38,scattered clouds
198,Praia Da Vitoria,PT,38.7333,-27.0667,68.0,77,20,12.86,few clouds
199,Merauke,ID,-8.4667,140.3333,78.35,80,11,3.4,few clouds
200,Batemans Bay,AU,-35.7167,150.1833,53.01,54,6,1.01,clear sky
201,Pine Hill,US,39.7843,-74.9921,60.01,96,100,1.99,overcast clouds
202,Port Keats,AU,-14.25,129.55,80.6,80,56,1.59,broken clouds
203,Luanda,AO,-8.8368,13.2343,86.0,66,40,9.22,light rain
204,Espanola,US,35.9911,-106.0806,55.99,14,1,1.7,clear sky
205,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.2,86,40,2.24,scattered clouds
206,Moncada,ES,39.5456,-0.3955,73.99,46,20,13.8,few clouds
207,Mount Gambier,AU,-37.8333,140.7667,50.0,81,75,5.75,broken clouds
208,Sola,VU,-13.8833,167.55,78.93,80,100,2.24,overcast clouds
209,Tecoanapa,MX,16.5167,-98.75,80.11,62,6,0.51,clear sky
210,Xinxiang,CN,35.3089,113.8672,56.25,66,100,3.8,overcast clouds
211,Portland,US,45.5234,-122.6762,37.99,80,1,2.62,clear sky
212,Pisco,PE,-13.7,-76.2167,73.4,64,0,9.22,clear sky
213,Airai,TL,-8.9266,125.4092,58.41,90,68,1.7,broken clouds
214,Tyukhtet,RU,56.5389,89.3011,32.07,97,97,5.17,overcast clouds
215,Nara,JP,34.6851,135.8049,55.0,58,32,3.91,scattered clouds
216,Abbeville,FR,50.1,1.8333,48.0,53,99,15.08,overcast clouds
217,Amapa,BR,1.0,-52.0,83.19,72,90,4.52,overcast clouds
218,San Andres,CO,12.5847,-81.7006,86.0,74,40,8.05,scattered clouds
219,Clocolan,ZA,-28.9137,27.5656,78.49,25,5,7.78,clear sky
220,Derbent,RU,42.0678,48.2899,55.45,67,100,3.44,overcast clouds
221,Fairbanks,US,64.8378,-147.7164,-2.2,60,1,9.22,clear sky
222,Kodiak,US,57.79,-152.4072,35.6,93,90,12.28,mist
223,Paciran,ID,-6.8767,112.3761,79.83,80,94,2.37,overcast clouds
224,Lingao,CN,19.9103,109.6859,74.8,85,9,12.15,light rain
225,Jamestown,US,42.097,-79.2353,64.99,82,90,17.27,overcast clouds
226,Colesberg,ZA,-30.72,25.0972,83.53,19,63,13.69,broken clouds
227,Changli,CN,39.7042,119.1506,50.74,67,100,6.06,overcast clouds
228,Springdale,US,36.1867,-94.1288,61.0,55,1,6.91,clear sky
229,Cockburn Town,TC,21.4612,-71.1419,75.34,66,91,15.61,overcast clouds
230,Bengkulu,ID,-3.8004,102.2655,77.27,89,97,3.51,moderate rain
231,Vostok,RU,46.4856,135.8833,40.64,77,100,6.8,overcast clouds
