City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Sujiatun,CN,2021-04-08 01:14:57,41.6592,123.3392,46.4,31,0,4.47
226,Narsaq,GL,2021-04-08 01:05:11,60.9167,-46.05,35.6,64,75,1.14
227,Erzin,TR,2021-04-08 01:14:57,36.9559,36.2,63.0,92,5,1.7
228,Gonaives,HT,2021-04-08 01:14:57,19.45,-72.6833,75.85,80,100,9.31
229,Sotouboua,TG,2021-04-08 01:14:58,8.5667,0.9833,84.2,65,0,3.91
230,Saint-Georges,GD,2021-04-08 01:14:58,12.0564,-61.7485,78.8,89,75,8.05
231,Ferrol,ES,2021-04-08 01:14:58,43.4832,-8.2369,52.0,76,0,6.82
232,Santa Marta,CO,2021-04-08 01:11:42,11.2408,-74.199,84.2,79,40,8.05
233,Burnie,AU,2021-04-08 01:14:59,-41.0667,145.9167,64.99,84,100,1.99
234,Bakel,SN,2021-04-08 01:14:59,14.905,-12.4568,88.34,9,0,5.37
235,Filingue,NE,2021-04-08 01:14:59,14.3521,3.3168,86.16,8,56,6.49
236,Porto Belo,BR,2021-04-08 01:15:00,-27.1578,-48.5531,75.2,73,75,11.5
237,Plettenberg Bay,ZA,2021-04-08 01:15:00,-34.0527,23.3716,61.3,90,6,1.66
238,Asau,RO,2021-04-08 01:15:00,46.4333,26.4,30.2,86,0,4.61
239,Tura,IN,2021-04-08 01:08:05,25.5198,90.2201,72.43,67,0,6.98
240,Esperance,AU,2021-04-08 01:07:54,-33.8667,121.9,62.6,94,90,5.75
241,Betafo,MG,2021-04-08 01:15:01,-19.8333,46.85,59.65,96,81,5.19
242,Nome,US,2021-04-08 01:07:34,64.5011,-165.4064,6.8,56,1,14.97
243,Abu Samrah,SY,2021-04-08 01:15:01,35.3029,37.1841,61.56,38,99,6.31
244,Kruisfontein,ZA,2021-04-08 01:08:03,-34.0033,24.7314,59.0,93,18,3.38
245,Kununurra,AU,2021-04-08 01:11:56,-15.7667,128.7333,89.6,58,100,2.3
246,Xinxiang,CN,2021-04-08 01:15:02,35.3089,113.8672,60.58,43,2,6.98
247,Guerrero Negro,MX,2021-04-08 01:15:02,27.9769,-114.0611,67.42,62,10,16.75
248,Yar-Sale,RU,2021-04-08 01:15:02,66.8333,70.8333,10.33,100,100,3.31
249,Nhulunbuy,AU,2021-04-08 01:15:03,-12.2333,136.7667,84.2,58,20,5.75
250,Ponta Do Sol,PT,2021-04-08 01:08:08,32.6667,-17.1,62.01,77,100,1.99
251,Chilca,PE,2021-04-08 01:15:03,-12.5211,-76.7372,69.8,78,0,14.97
252,Lagoa,PT,2021-04-08 01:15:03,39.05,-27.9833,59.22,92,24,22.91
253,Balikpapan,ID,2021-04-08 01:15:04,-1.2675,116.8289,79.93,79,95,3.42
254,Turangi,NZ,2021-04-08 01:15:04,-39.0,175.9333,73.0,53,5,4.0
255,Labuhan,ID,2021-04-08 01:15:04,-6.8844,112.2051,81.9,79,100,10.47
256,Alamogordo,US,2021-04-08 01:15:05,32.8995,-105.9603,75.99,7,1,5.48
257,Ulaangom,MN,2021-04-08 01:07:55,49.9811,92.0667,44.22,33,1,3.49
258,San Cristobal,VE,2021-04-08 01:15:05,7.7669,-72.225,78.8,94,40,3.44
259,Pangkalanbuun,ID,2021-04-08 01:10:15,-2.6833,111.6167,83.1,70,100,4.43
260,Anadyr,RU,2021-04-08 01:15:06,64.75,177.4833,-9.0,77,0,6.71
261,Rosa Zarate,EC,2021-04-08 01:15:06,0.3333,-79.4667,74.55,94,100,0.94
262,Tual,ID,2021-04-08 01:15:07,-5.6667,132.75,83.32,70,85,6.64
263,Marystown,CA,2021-04-08 01:15:07,47.1666,-55.1483,43.09,81,100,21.25
264,Souillac,MU,2021-04-08 01:08:14,-20.5167,57.5167,77.0,88,75,9.22
265,Nguru,NG,2021-04-08 01:15:08,12.8791,10.4526,84.88,13,100,8.5
266,Kutum,SD,2021-04-08 01:15:08,14.2,24.6667,72.45,8,95,8.46
267,Lardos,GR,2021-04-08 01:15:08,36.0942,28.0157,59.0,77,40,3.44
268,Baykit,RU,2021-04-08 01:15:08,61.67,96.37,31.37,89,96,4.76
269,Byron Bay,AU,2021-04-08 01:15:09,-28.65,153.6167,73.4,83,75,11.5
270,Motygino,RU,2021-04-08 01:15:09,58.1831,94.7592,29.43,94,99,3.98
271,Tarakan,ID,2021-04-08 01:14:05,3.3,117.6333,79.18,79,96,4.27
272,Monywa,MM,2021-04-08 01:10:42,22.1167,95.1333,85.12,46,0,6.76
273,Ostrovnoy,RU,2021-04-08 01:08:04,68.0531,39.5131,30.34,87,100,11.16
274,Katubao,PH,2021-04-08 01:15:10,5.8892,124.8294,84.2,74,40,3.44
275,Verkhnyaya Balkariya,RU,2021-04-08 01:15:10,43.1279,43.4573,48.2,66,28,2.24
276,Ailigandi,PA,2021-04-08 01:15:10,9.2333,-78.0167,79.81,88,100,4.18
277,Broome,US,2021-04-08 01:12:46,42.2506,-75.833,57.2,44,1,5.75
278,Seydisehir,TR,2021-04-08 01:15:11,37.4193,31.8453,43.68,48,100,4.38
279,Fort Wayne,US,2021-04-08 01:12:44,41.1306,-85.1289,66.2,63,40,5.75
280,Zatoka,UA,2021-04-08 01:15:11,46.0725,30.4654,35.6,75,0,11.18
281,Bar Harbor,US,2021-04-08 01:15:11,44.3876,-68.2039,51.8,76,90,9.22
